"#DemDebate" "#acasabotage" "#peteforpresident" "#DemocraticDebate" "#YangGang" "#PeteButtigieg" "#Harris" "#Warren" "#ReformFirst" "#American" "#POTUS46" "#POTUS" "#DemDebates" "#debate" "#DemocraticDebates" "#LarryDavid" "#climate" "#Bannon" "#Biden2020" "#KamalaHarris" "#Bernie2020" "#msnbc" "#VicePresidentBiden" "#JulianDebates" "#WeAreBetoThanThis" "#DemDebatePresident" "#MedicareForAll" "#yanggang" "#TeamPete" "#CoalMineSteyer" "#demdebate" "#TdoR" "#putin" "#YangBeatsTrump" "#BadAss" "#ClimateChange" "#2020Election" "#MSNBC" "#PeteForPresident" "#LetYangSpeak" "#publiclands" "#Nevada" "#LivingWage" "#AmericanFarming" "#WealthTax" "#BoliviaCoup" "#letyangspeak" "#YangMediaBlackout" "#MigrantJusticePlatform" "#Cato2020" "#CatoTrade" "#BidenBaby" "#Warren2020" "#DreamBigFightHard" "#PaidFamilyLeave" "#childcare" "#Rigged" "#BernieSanders" "#ManchurianCandidate" "#Kamala2020" "#kamala" "#Demdebate" "#Tulsi" "#AskAboutAbortion" "#Mexico" "#Receipts" "#1" "#TeamWarren" "#PeteForAmerica" "#wallshade" "#MeTooReproductive" "#Klobuchar2020" "#ElizabethWarren" "#DemDEbate" "#EndorseAndrewYang" "#BoycottMSNBC" "#courage" "#integrity" "#momsforyang" "#MApoli" "#Kamala" "#LatinaEqualPay" "#climatechange" "#MakeItStop" "#StatusQuo" "#NotMeUs" "#ByeTulsi" "#KDH" "#KAMALA2020" "#ParaLaGente" "#Democrats" "#JusticeIsOnTheBallot" "#KHive" "#TransDayofRememberance" "#talklocal" "#PoliticalRevolution" "#AFutureToBelieveIn" "#AllOfUsIf" "#Democraticdebate" "#CripTheVote"
"#msnbc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#VicePresidentBiden" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#JulianDebates" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"#WeAreBetoThanThis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#DemDebatePresident" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#MedicareForAll" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#yanggang" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#TeamPete" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#CoalMineSteyer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#demdebate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 272 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
